transaction_id,sender_id,receiver_id,amount,timestamp
TXN_00001,CYC3_0_A,CYC3_0_B,100,2025-01-01 00:00:00
TXN_00002,CYC3_0_B,CYC3_0_C,100,2025-01-01 00:10:00
TXN_00003,CYC3_0_C,CYC3_0_A,100,2025-01-01 00:20:00
TXN_00004,CYC3_1_A,CYC3_1_B,110,2025-01-01 01:00:00
TXN_00005,CYC3_1_B,CYC3_1_C,110,2025-01-01 01:10:00
TXN_00006,CYC3_1_C,CYC3_1_A,110,2025-01-01 01:20:00
TXN_00007,CYC3_2_A,CYC3_2_B,120,2025-01-01 02:00:00
TXN_00008,CYC3_2_B,CYC3_2_C,120,2025-01-01 02:10:00
TXN_00009,CYC3_2_C,CYC3_2_A,120,2025-01-01 02:20:00
TXN_00010,CYC3_3_A,CYC3_3_B,130,2025-01-01 03:00:00
TXN_00011,CYC3_3_B,CYC3_3_C,130,2025-01-01 03:10:00
TXN_00012,CYC3_3_C,CYC3_3_A,130,2025-01-01 03:20:00
TXN_00013,CYC3_4_A,CYC3_4_B,140,2025-01-01 04:00:00
TXN_00014,CYC3_4_B,CYC3_4_C,140,2025-01-01 04:10:00
TXN_00015,CYC3_4_C,CYC3_4_A,140,2025-01-01 04:20:00
TXN_00016,CYC3_5_A,CYC3_5_B,150,2025-01-01 05:00:00
TXN_00017,CYC3_5_B,CYC3_5_C,150,2025-01-01 05:10:00
TXN_00018,CYC3_5_C,CYC3_5_A,150,2025-01-01 05:20:00
TXN_00019,CYC3_6_A,CYC3_6_B,160,2025-01-01 06:00:00
TXN_00020,CYC3_6_B,CYC3_6_C,160,2025-01-01 06:10:00
TXN_00021,CYC3_6_C,CYC3_6_A,160,2025-01-01 06:20:00
TXN_00022,CYC3_7_A,CYC3_7_B,170,2025-01-01 07:00:00
TXN_00023,CYC3_7_B,CYC3_7_C,170,2025-01-01 07:10:00
TXN_00024,CYC3_7_C,CYC3_7_A,170,2025-01-01 07:20:00
TXN_00025,CYC4_0_A,CYC4_0_B,200,2025-02-01 00:00:00
TXN_00026,CYC4_0_B,CYC4_0_C,200,2025-02-01 00:10:00
TXN_00027,CYC4_0_C,CYC4_0_D,200,2025-02-01 00:20:00
TXN_00028,CYC4_0_D,CYC4_0_A,200,2025-02-01 00:30:00
TXN_00029,CYC4_1_A,CYC4_1_B,200,2025-02-01 01:00:00
TXN_00030,CYC4_1_B,CYC4_1_C,200,2025-02-01 01:10:00
TXN_00031,CYC4_1_C,CYC4_1_D,200,2025-02-01 01:20:00
TXN_00032,CYC4_1_D,CYC4_1_A,200,2025-02-01 01:30:00
TXN_00033,CYC4_2_A,CYC4_2_B,200,2025-02-01 02:00:00
TXN_00034,CYC4_2_B,CYC4_2_C,200,2025-02-01 02:10:00
TXN_00035,CYC4_2_C,CYC4_2_D,200,2025-02-01 02:20:00
